username,name,role,has_github,location,gender
rromb,Robin Rombach,user,True,Black Forest,"Male
"
multimodalart,Apolinário from multimodal AI art,user,True,,"Male
"
anton-l,Anton Lozhkov,user,True,"Paris, France","Male
"
akhaliq,AK,user,False,,"Unknown
"
pesser,Patrick Esser,user,True,,"Male
"
valhalla,Suraj Patil,user,True,India,"Male
"
stabilite,Emad Mostaque,user,False,,"Male
"
RiversHaveWings,Katherine Crowson,user,True,,"Female
"
pcuenq,Pedro Cuenca,user,True,Spain,"Male
"
chigozie,Chigozie,user,True,,"Male
"
stellaathena,Stella Biderman,user,True,,"Female
"
lvwerra,Leandro von Werra,user,True,"Bern, Switzerland","Male
"
Takyon236,Takyon236,user,False,,"Unknown
"
dmarx,David Marx,user,True,"Seattle, WA","Male
"
ajawed,Ahmed Jawed,user,False,,"Male
"
YfZ,Yufan Zhou,user,False,,"Unknown
"
Adrians,avaer,user,True,,"Unknown
"
PartyParrot,John Doe,user,False,,"Unknown
"
Corentk,Corentin coKervadec,user,False,,"Male
"
comathematician,Sven Cattell,user,True,,"Male
"
bmarino,BM,user,False,,"Unknown
"
adamchenSAI,Adam Chen,user,False,,"Male
"
