username,name,role,has_github,location
rromb,Robin Rombach,user,True,Black Forest
multimodalart,Apolinário from multimodal AI art,user,True,
anton-l,Anton Lozhkov,user,True,"Paris, France"
akhaliq,AK,user,False,
pesser,Patrick Esser,user,True,
valhalla,Suraj Patil,user,True,India
stabilite,Emad Mostaque,user,False,
RiversHaveWings,Katherine Crowson,user,True,
pcuenq,Pedro Cuenca,user,True,Spain
chigozie,Chigozie,user,True,
stellaathena,Stella Biderman,user,True,
lvwerra,Leandro von Werra,user,True,"Bern, Switzerland"
Takyon236,Takyon236,user,False,
dmarx,David Marx,user,True,"Seattle, WA"
ajawed,Ahmed Jawed,user,False,
YfZ,Yufan Zhou,user,False,
Adrians,avaer,user,True,
PartyParrot,John Doe,user,False,
Corentk,Corentin coKervadec,user,False,
comathematician,Sven Cattell,user,True,
bmarino,BM,user,False,
adamchenSAI,Adam Chen,user,False,
