username,name,role,has_github,location
thomwolf,Thomas Wolf,user,True,
lvwerra,Leandro von Werra,user,True,"Bern, Switzerland"
anton-l,Anton Lozhkov,user,True,"Paris, France"
loubnabnl,Loubna Ben Allal,user,True,"Paris, France"
guipenedo,Guilherme Penedo,user,True,Paris
hynky,Hynek Kydlicek,user,True,
3outeille,Ferdinand Mom,user,True,France
eliebak,Elie Bakouch,user,True,"Paris, France"
neuralink,neuralink,user,False,
craffel,Colin Raffel,user,True,"Toronto, ON"
meg,Margaret Mitchell,user,True,
SaylorTwift,Nathan Habib,user,True,Paris
clefourrier,Clémentine Fourrier,user,True,France
